row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,defc044a09324626a6b58de744ab6cce,693439f4e794b8f9,BOOKED,2024-01-02,2024-01-03,IN,EUR,2860.98,2860.98,Henrik Tamm,Transfer to savings
2,defc044a09324626a6b58de744ab6cce,1297de4aba4488f7,BOOKED,2024-01-04,2024-01-04,OUT,EUR,-15.7,15.7,Peeter Kask,Utility bill January
3,defc044a09324626a6b58de744ab6cce,f896e52f19107cea,BOOKED,2024-01-09,2024-01-09,OUT,EUR,-3332.87,3332.87,Markus Berg,Grocery store purchase
4,defc044a09324626a6b58de744ab6cce,34d7487d11a0a8d6,BOOKED,2024-01-12,2024-01-12,IN,EUR,2486.07,2486.07,Viktor Lepp,Tax payment WIQW3WHR
5,defc044a09324626a6b58de744ab6cce,252441df30025ce0,BOOKED,2024-01-14,2024-01-15,OUT,EUR,-9318.52,9318.52,Sophie Oja,Service fee
6,defc044a09324626a6b58de744ab6cce,805e5311c10f5cb6,PENDING,,2024-01-15,OUT,EUR,-5296.36,5296.36,Tomas Nilsson,Freelance payment QSFGES1Q
7,defc044a09324626a6b58de744ab6cce,704f7a1bc4cfebaf,BOOKED,2024-01-25,2024-01-26,IN,EUR,647.14,647.14,Katrin Tamm,Freelance payment EDHBHNW4
8,defc044a09324626a6b58de744ab6cce,10febd32d1f25a93,BOOKED,2024-02-06,2024-02-07,IN,EUR,9056.86,9056.86,Markus Mets,Invoice NTNP5LXR
9,defc044a09324626a6b58de744ab6cce,9ce912c18393bb84,BOOKED,2024-02-07,2024-02-08,IN,EUR,1429.8,1429.8,Emma Mets,Tax payment WW2X4F7B
10,defc044a09324626a6b58de744ab6cce,e1e2583b12e165b1,BOOKED,2024-03-12,2024-03-13,OUT,EUR,-2502.51,2502.51,Elena Jansen,Refund order 4M1VO9OR
11,defc044a09324626a6b58de744ab6cce,8b05e3b32aa07fc2,BOOKED,2024-04-05,2024-04-07,IN,EUR,588.53,588.53,Ingrid Kask,Rent payment April
12,defc044a09324626a6b58de744ab6cce,c80de967cedc28c8,BOOKED,2024-04-10,2024-04-12,IN,EUR,2815.81,2815.81,Clara Mets,Service fee
13,defc044a09324626a6b58de744ab6cce,f0484f0ed695b3ab,BOOKED,2024-04-14,2024-04-16,OUT,EUR,-981.98,981.98,Anna Jansen,Insurance premium Q2
14,defc044a09324626a6b58de744ab6cce,7545ea344d6545e5,BOOKED,2024-04-18,2024-04-18,OUT,EUR,-5798.24,5798.24,Ingrid Saar,Tax payment 6UOOZQXE
15,defc044a09324626a6b58de744ab6cce,cd4ffd10013ee636,PENDING,,2024-04-19,IN,EUR,1159.68,1159.68,Jan Dubois,Salary April
16,defc044a09324626a6b58de744ab6cce,811fc0e1f8980226,PENDING,,2024-05-04,OUT,EUR,-7081.67,7081.67,Tomas Saar,Insurance premium Q2
17,defc044a09324626a6b58de744ab6cce,a1ac33751c1c23c3,BOOKED,2024-05-19,2024-05-19,OUT,EUR,-7750.47,7750.47,Olivia Saar,Grocery store purchase
18,defc044a09324626a6b58de744ab6cce,a61db5ddf060bf7b,BOOKED,2024-05-30,2024-05-30,OUT,EUR,-9365.29,9365.29,Andres Jansen,Tax payment I6K76E9G
19,defc044a09324626a6b58de744ab6cce,dff7ef37b9421211,BOOKED,2024-05-31,2024-06-02,OUT,EUR,-6703.37,6703.37,Viktor Tamm,Utility bill June
20,defc044a09324626a6b58de744ab6cce,a0d3d0adba6ff0c2,BOOKED,2024-06-03,2024-06-03,IN,EUR,1766.29,1766.29,Anna Tamm,Rent payment June
21,defc044a09324626a6b58de744ab6cce,1b53904e69da741d,BOOKED,2024-06-05,2024-06-05,IN,EUR,8120.78,8120.78,Jan Oja,Utility bill June
22,defc044a09324626a6b58de744ab6cce,aa26f47423d5622d,PENDING,,2024-06-05,IN,EUR,958.49,958.49,Luca Lepp,Service fee
23,defc044a09324626a6b58de744ab6cce,e726ee3ceed6de59,BOOKED,2024-06-09,2024-06-11,IN,EUR,5880.41,5880.41,Markus Paju,Service fee
24,defc044a09324626a6b58de744ab6cce,46b0631ee8aaf99d,PENDING,,2024-06-13,OUT,EUR,-5936.4,5936.4,Felix Kuusk,Rent payment June
25,defc044a09324626a6b58de744ab6cce,cf2a1335eb8205b7,PENDING,,2024-06-14,IN,EUR,3877.33,3877.33,Ingrid Rossi,Refund order Q42G4TC2
26,defc044a09324626a6b58de744ab6cce,e70ed28f2ad833fc,PENDING,,2024-06-15,OUT,EUR,-1538.65,1538.65,Markus Berg,Service fee
27,defc044a09324626a6b58de744ab6cce,0768cad94c0e5527,BOOKED,2024-06-16,2024-06-17,OUT,EUR,-6514.04,6514.04,Stefan Tamm,Grocery store purchase
28,defc044a09324626a6b58de744ab6cce,32df69b5c5919bee,BOOKED,2024-06-18,2024-06-20,IN,EUR,6112,6112,Stefan Smith,Utility bill June
29,defc044a09324626a6b58de744ab6cce,5b070c1e6d4e330e,PENDING,,2024-06-22,OUT,EUR,-9405.72,9405.72,Emma Kuusk,Subscription renewal
30,defc044a09324626a6b58de744ab6cce,53d4455f21b5ecce,BOOKED,2024-06-23,2024-06-24,OUT,EUR,-4654.58,4654.58,Liisa Nilsson,Donation to charity
31,defc044a09324626a6b58de744ab6cce,f628ee53feefc2be,PENDING,,2024-07-01,OUT,EUR,-9765.15,9765.15,Katrin Mets,Refund order 8QC7L6HC
32,defc044a09324626a6b58de744ab6cce,242565ac85961476,BOOKED,2024-07-01,2024-07-03,OUT,EUR,-7132.88,7132.88,Viktor Mets,Refund order G2EWPJUQ
33,defc044a09324626a6b58de744ab6cce,3d188dcb391ff681,BOOKED,2024-07-01,2024-07-03,OUT,EUR,-8875.51,8875.51,Liisa Mets,Invoice HHLJGYMO
34,defc044a09324626a6b58de744ab6cce,bc08548d5d3bd832,BOOKED,2024-07-03,2024-07-03,OUT,EUR,-3634.76,3634.76,Ingrid Smith,Refund order 1ZMGA58U
35,defc044a09324626a6b58de744ab6cce,a6a524593801c042,BOOKED,2024-07-18,2024-07-18,OUT,EUR,-4389.02,4389.02,Olivia Rossi,Service fee
36,defc044a09324626a6b58de744ab6cce,240e5a9570ae3595,BOOKED,2024-07-20,2024-07-21,IN,EUR,2579.96,2579.96,Carlos Kuusk,Freelance payment KWFL7DFH
