row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,b38a088ca65e4389b74d0fb132e70629,6cb596b9d0492161,BOOKED,2024-01-10,2024-01-12,OUT,EUR,-2745.53,2745.53,Julia Kask,Grocery store purchase
2,b38a088ca65e4389b74d0fb132e70629,32a7d25b7077c656,PENDING,,2024-01-15,IN,EUR,2733.43,2733.43,Tomas Nilsson,Service fee
3,b38a088ca65e4389b74d0fb132e70629,0d3eff77c2e7a201,BOOKED,2024-01-20,2024-01-21,IN,EUR,6820.98,6820.98,Viktor Lepp,Subscription renewal
4,b38a088ca65e4389b74d0fb132e70629,a63c867eaf5757a6,BOOKED,2024-01-19,2024-01-21,IN,EUR,4192.83,4192.83,Julia Nilsson,Transfer to savings
5,b38a088ca65e4389b74d0fb132e70629,981c55492f72e64d,BOOKED,2024-01-28,2024-01-28,IN,EUR,3104.76,3104.76,Emma Kask,E05 missing valueDate with bookingDate fallback
6,b38a088ca65e4389b74d0fb132e70629,5cfe824bf3554420,BOOKED,2024-01-31,2024-02-01,OUT,EUR,-8006.12,8006.12,Peeter Dubois,Salary February
7,b38a088ca65e4389b74d0fb132e70629,e84e770ce9d6584c,PENDING,,2024-02-16,IN,EUR,6417.4,6417.4,Stefan Tamm,Service fee
8,b38a088ca65e4389b74d0fb132e70629,3cfa23c4cfa89d04,BOOKED,2024-03-02,2024-03-03,IN,EUR,8014.36,8014.36,Viktor Nilsson,Rent payment March
9,b38a088ca65e4389b74d0fb132e70629,56b36681a5efacea,PENDING,,2024-03-05,OUT,EUR,-5261.32,5261.32,Felix Mets,Donation to charity
10,b38a088ca65e4389b74d0fb132e70629,94b4cf53d1c3baff,PENDING,,2024-03-07,IN,EUR,5865.06,5865.06,Markus Nilsson,Refund order IPU1WYUV
11,b38a088ca65e4389b74d0fb132e70629,1c7eb8f75df5e781,BOOKED,2024-03-09,2024-03-10,IN,EUR,503.8,503.8,Sophie Nilsson,Service fee
12,b38a088ca65e4389b74d0fb132e70629,dfa0c69817672c27,BOOKED,2024-03-13,2024-03-14,IN,EUR,749.21,749.21,Laura Nilsson,Loan repayment March
13,b38a088ca65e4389b74d0fb132e70629,ade29ec3aed5982a,BOOKED,2024-03-23,2024-03-24,OUT,EUR,-2095.86,2095.86,Laura Mets,Subscription renewal
14,b38a088ca65e4389b74d0fb132e70629,9d5d6c491510b2b5,BOOKED,2024-03-28,2024-03-28,IN,EUR,6095.3,6095.3,Sophie Dubois,Loan repayment March
15,b38a088ca65e4389b74d0fb132e70629,8515ff94054c8aed,BOOKED,2024-05-14,2024-05-15,OUT,EUR,-4230.65,4230.65,Felix Paju,Freelance payment CGVYIE6I
16,b38a088ca65e4389b74d0fb132e70629,f5afebb31b8276e6,BOOKED,2024-05-30,2024-05-30,OUT,EUR,-6918.17,6918.17,Tomas Kowalski,Subscription renewal
17,b38a088ca65e4389b74d0fb132e70629,2f2dfdb3917e2e37,BOOKED,2024-05-31,2024-06-02,OUT,EUR,-6669.26,6669.26,Elena Berg,Insurance premium Q2
18,b38a088ca65e4389b74d0fb132e70629,fcbc33b0a49a04b7,BOOKED,2024-06-18,2024-06-18,IN,EUR,8770.5,8770.5,Laura Mueller,Donation to charity
19,b38a088ca65e4389b74d0fb132e70629,ab67df11a344e31c,BOOKED,2024-06-20,2024-06-20,IN,EUR,6728.28,6728.28,Andres Jansen,Online purchase 11DPG8SB
20,b38a088ca65e4389b74d0fb132e70629,e27c8cb6de7c58be,BOOKED,2024-06-21,2024-06-23,OUT,EUR,-8205.67,8205.67,Tomas Rossi,Insurance premium Q2
21,b38a088ca65e4389b74d0fb132e70629,39355a6e2c8280d1,BOOKED,2024-07-03,2024-07-03,OUT,EUR,-142.47,142.47,Markus Saar,Rent payment July
22,b38a088ca65e4389b74d0fb132e70629,7fa65d1907e17b5c,BOOKED,2024-07-16,2024-07-18,IN,EUR,8567.46,8567.46,Julia Berg,Loan repayment July
23,b38a088ca65e4389b74d0fb132e70629,9f947ca7cff7eace,BOOKED,2024-08-05,2024-08-07,OUT,EUR,-3620.6,3620.6,Katrin Paju,Transfer to savings
24,b38a088ca65e4389b74d0fb132e70629,4eaf3fd783fb9444,BOOKED,2024-08-10,2024-08-12,OUT,EUR,-1210.92,1210.92,Andres Mets,Service fee
25,b38a088ca65e4389b74d0fb132e70629,5387edcffe26380c,BOOKED,2024-08-18,2024-08-18,OUT,EUR,-9823.86,9823.86,Marie Mueller,E06 lowercase currency
26,b38a088ca65e4389b74d0fb132e70629,65126ccdcacf7ac4,BOOKED,2024-09-02,2024-09-03,OUT,EUR,-8042.51,8042.51,Emma Mets,Salary September
27,b38a088ca65e4389b74d0fb132e70629,42c49ed18260f79f,BOOKED,2024-09-23,2024-09-24,OUT,EUR,-9085.13,9085.13,Tomas Oja,Loan repayment September
28,b38a088ca65e4389b74d0fb132e70629,9262cb13ff44445a,BOOKED,2024-10-05,2024-10-05,IN,EUR,9084.2,9084.2,Katrin Mets,Refund order JD84U89Y
29,b38a088ca65e4389b74d0fb132e70629,fcd86a69b79693f9,BOOKED,2024-10-05,2024-10-06,IN,EUR,4492.64,4492.64,Laura Tamm,Subscription renewal
30,b38a088ca65e4389b74d0fb132e70629,32f3d9bc404f72c0,PENDING,,2024-10-07,OUT,EUR,-3809.66,3809.66,Stefan Rossi,Grocery store purchase
31,b38a088ca65e4389b74d0fb132e70629,9dfdb6b929cf8a5d,BOOKED,2024-10-22,2024-10-22,IN,EUR,4705.53,4705.53,Ingrid Kuusk,Service fee
32,b38a088ca65e4389b74d0fb132e70629,7a8ba19638d68e7f,BOOKED,2024-11-15,2024-11-16,IN,EUR,2036.38,2036.38,Markus Saar,Subscription renewal
33,b38a088ca65e4389b74d0fb132e70629,b801e25aebac3fb7,BOOKED,2024-11-21,2024-11-23,IN,EUR,1529.24,1529.24,Mart Tamm,Transfer to savings
34,b38a088ca65e4389b74d0fb132e70629,19339103881b6231,BOOKED,2024-11-28,2024-11-29,OUT,EUR,-4649.27,4649.27,Felix Smith,Subscription renewal
35,b38a088ca65e4389b74d0fb132e70629,f21b504798e008be,BOOKED,2024-12-05,2024-12-05,IN,EUR,2645.39,2645.39,Peeter Saar,Salary December
36,b38a088ca65e4389b74d0fb132e70629,ce10b5ab94644ea0,BOOKED,2024-12-23,2024-12-24,OUT,EUR,-1678.72,1678.72,Stefan Lepp,Invoice 43D8W3ZP
37,b38a088ca65e4389b74d0fb132e70629,f5d046b089e2e6a7,BOOKED,2024-12-23,2024-12-24,OUT,EUR,-1167.64,1167.64,Jan Kask,Tax payment N9N6XCJ8
