row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,c9cf158de6e94d458ae8c077377925b3,8853c57842ee6b6f,BOOKED,2024-01-09,2024-01-10,OUT,EUR,-8898.59,8898.59,Andres Saar,Freelance payment I7HLD5WI
2,c9cf158de6e94d458ae8c077377925b3,e1821747dd463062,BOOKED,2024-01-21,2024-01-21,IN,EUR,4748.98,4748.98,Luca Berg,Transfer to savings
3,c9cf158de6e94d458ae8c077377925b3,ad22e05cc8c7d0a5,BOOKED,2024-02-06,2024-02-08,IN,EUR,9971.84,9971.84,Olivia Tamm,Grocery store purchase
4,c9cf158de6e94d458ae8c077377925b3,8e3912a2fcfcd76e,BOOKED,2024-02-15,2024-02-15,OUT,EUR,-1917.48,1917.48,Katrin Smith,Grocery store purchase
5,c9cf158de6e94d458ae8c077377925b3,9b9f0fc4b9591284,BOOKED,2024-02-19,2024-02-19,IN,EUR,2960.44,2960.44,Mart Oja,Subscription renewal
6,c9cf158de6e94d458ae8c077377925b3,321880805fe88841,BOOKED,2024-02-22,2024-02-23,IN,EUR,5805.52,5805.52,Jan Oja,Refund order 4ZG69UW6
7,c9cf158de6e94d458ae8c077377925b3,6daa48365a85af76,BOOKED,2024-02-23,2024-02-23,IN,EUR,0,0,Liisa Berg,EDGE01 zero amount
8,c9cf158de6e94d458ae8c077377925b3,0d56d21b9318a163,PENDING,,2024-03-05,IN,EUR,9329.03,9329.03,Markus Oja,Service fee
9,c9cf158de6e94d458ae8c077377925b3,979d069b8419ccc4,PENDING,,2024-03-05,OUT,EUR,-2885.84,2885.84,Stefan Tamm,Tax payment CZZJVRU1
10,c9cf158de6e94d458ae8c077377925b3,9e534310f43ccb74,BOOKED,2024-03-05,2024-03-06,OUT,EUR,-4342.69,4342.69,Sophie Mets,Donation to charity
11,c9cf158de6e94d458ae8c077377925b3,1a0a3ad18d57a603,BOOKED,2024-03-27,2024-03-28,OUT,EUR,-6568.72,6568.72,Marie Jansen,Transfer to savings
12,c9cf158de6e94d458ae8c077377925b3,d51154b8608082e0,BOOKED,2024-04-21,2024-04-21,IN,EUR,128.19,128.19,Luca Rossi,Service fee
13,c9cf158de6e94d458ae8c077377925b3,9fe70fd56fe60dac,BOOKED,2024-04-28,2024-04-30,OUT,EUR,-7330.29,7330.29,Stefan Mets,Refund order Y4X28NJI
14,c9cf158de6e94d458ae8c077377925b3,7c06f2f0b74681d5,BOOKED,2024-05-06,2024-05-07,OUT,EUR,-50,50,Luca Lepp,EDGE04 negative amount OUT direction
15,c9cf158de6e94d458ae8c077377925b3,23d4b9b6b0a3ccd1,BOOKED,2024-05-16,2024-05-18,OUT,EUR,-25,25,,EDGE08 no counterparty
16,c9cf158de6e94d458ae8c077377925b3,f6970c0c687ac327,BOOKED,2024-06-08,2024-06-10,IN,EUR,6122.65,6122.65,Peeter Smith,EDGE07 AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
17,c9cf158de6e94d458ae8c077377925b3,2f481af787af9565,BOOKED,2024-06-12,2024-06-14,OUT,EUR,-4957.46,4957.46,Peeter Tamm,Loan repayment June
18,c9cf158de6e94d458ae8c077377925b3,8c4b47369cfc20ac,BOOKED,2024-06-20,2024-06-22,OUT,EUR,-9999999.999,9999999.999,Elena Smith,EDGE02 large amount 3 decimal places
19,c9cf158de6e94d458ae8c077377925b3,a7b4517bd4c74b2d,BOOKED,2024-06-22,2024-06-23,IN,EUR,100.5,100.5,Felix Jansen,EDGE05 positive amount IN direction
20,c9cf158de6e94d458ae8c077377925b3,41bab5eac065758d,BOOKED,2024-07-10,2024-07-10,OUT,EUR,-3854.68,3854.68,Jan Oja,EDGE06 same booking and value date
21,c9cf158de6e94d458ae8c077377925b3,47ba6782aac9e2b3,BOOKED,2024-07-09,2024-07-10,IN,EUR,1523.61,1523.61,Viktor Mueller,Online purchase Z0P7GSGD
22,c9cf158de6e94d458ae8c077377925b3,63ab5f3cda569fb6,BOOKED,2024-07-12,2024-07-13,IN,EUR,3454.48,3454.48,Viktor Kowalski,Loan repayment July
23,c9cf158de6e94d458ae8c077377925b3,219dc2119da907a9,BOOKED,2024-07-22,2024-07-23,IN,EUR,3114.87,3114.87,Ingrid Dubois,Utility bill July
24,c9cf158de6e94d458ae8c077377925b3,4023203d6c2aab25,BOOKED,2024-08-28,2024-08-30,OUT,EUR,-812.52,812.52,Luca Mets,Grocery store purchase
25,c9cf158de6e94d458ae8c077377925b3,3525e47c493e932e,BOOKED,2024-09-12,2024-09-13,OUT,EUR,-2523.57,2523.57,Laura Mueller,Invoice M2O2ADQD
26,c9cf158de6e94d458ae8c077377925b3,f2ab6f40ab9d872f,BOOKED,2024-09-13,2024-09-14,OUT,EUR,-741.15,741.15,Julia Dubois,Online purchase 5TISYPSC
27,c9cf158de6e94d458ae8c077377925b3,10e423c8514ed6f0,BOOKED,2024-10-09,2024-10-10,OUT,EUR,-1,1,Mart Tamm,EDGE03 integer amount no decimals
28,c9cf158de6e94d458ae8c077377925b3,b6f10535b2b07863,PENDING,,2024-10-11,IN,EUR,7955.85,7955.85,Emma Jansen,Invoice 0DQH9PS8
29,c9cf158de6e94d458ae8c077377925b3,00e2704cc9da94c9,BOOKED,2024-11-04,2024-11-05,OUT,EUR,-9605.35,9605.35,Stefan Kowalski,Freelance payment L8Y0KYMH
30,c9cf158de6e94d458ae8c077377925b3,689eb85015a0c3c3,PENDING,,2024-11-22,OUT,EUR,-5964.94,5964.94,Ingrid Oja,Online purchase 6QERN5LC
31,c9cf158de6e94d458ae8c077377925b3,2c3fb98c0e8a5f88,BOOKED,2024-12-05,2024-12-06,IN,EUR,6019.63,6019.63,Laura Mets,Refund order DEOPXVAE
32,c9cf158de6e94d458ae8c077377925b3,ac6c897aeb8cfe37,BOOKED,2024-12-19,2024-12-21,IN,EUR,7637.24,7637.24,Tomas Berg,Online purchase 8WC5G1F7
33,c9cf158de6e94d458ae8c077377925b3,4a4ca6a03b4a832f,PENDING,,2024-12-25,OUT,EUR,-2318.67,2318.67,Viktor Tamm,Insurance premium Q4
