row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,c9cf158de6e94d458ae8c077377925b3,8853c57842ee6b6f,BOOKED,2024-01-09,2024-01-10,OUT,EUR,-8898.59,8898.59,Andres Saar,Freelance payment I7HLD5WI
2,c9cf158de6e94d458ae8c077377925b3,8853c57842ee6b6f,BOOKED,2024-01-09,2024-01-10,OUT,EUR,-8898.59,8898.59,Andres Saar,Freelance payment I7HLD5WI
3,c9cf158de6e94d458ae8c077377925b3,073ec2febacd113e,BOOKED,2024-01-21,2024-01-21,IN,EUR,4748.98,4748.98,Luca Berg,DUP04 modified remittance
4,c9cf158de6e94d458ae8c077377925b3,81df20a1bc3704a5,BOOKED,2024-01-21,2024-01-21,IN,EUR,4748.98,4748.98,Luca Berg,DUP04 original remittance
5,c9cf158de6e94d458ae8c077377925b3,1857f46fd26453be,BOOKED,2024-02-06,2024-02-08,IN,EUR,9971.85,9971.85,Olivia Tamm,Grocery store purchase
6,c9cf158de6e94d458ae8c077377925b3,ad22e05cc8c7d0a5,BOOKED,2024-02-06,2024-02-08,IN,EUR,9971.84,9971.84,Olivia Tamm,Grocery store purchase
7,c9cf158de6e94d458ae8c077377925b3,9b9f0fc4b9591284,BOOKED,2024-02-19,2024-02-19,IN,EUR,2960.44,2960.44,Mart Oja,Subscription renewal
8,c9cf158de6e94d458ae8c077377925b3,fc6c6cac88abb7ec,BOOKED,2024-02-19,2024-02-19,IN,EUR,2960.44,2960.44,Mart Oja,Subscription renewal
9,c9cf158de6e94d458ae8c077377925b3,321880805fe88841,BOOKED,2024-02-22,2024-02-23,IN,EUR,5805.52,5805.52,Jan Oja,Refund order 4ZG69UW6
10,c9cf158de6e94d458ae8c077377925b3,1a0a3ad18d57a603,BOOKED,2024-03-27,2024-03-28,OUT,EUR,-6568.72,6568.72,Marie Jansen,Transfer to savings
11,c9cf158de6e94d458ae8c077377925b3,d51154b8608082e0,BOOKED,2024-04-21,2024-04-21,IN,EUR,128.19,128.19,Luca Rossi,Service fee
12,c9cf158de6e94d458ae8c077377925b3,9fe70fd56fe60dac,BOOKED,2024-04-28,2024-04-30,OUT,EUR,-7330.29,7330.29,Stefan Mets,Refund order Y4X28NJI
13,c9cf158de6e94d458ae8c077377925b3,8892547ac49a41e7,PENDING,,2024-05-03,OUT,EUR,-1917.48,1917.48,Katrin Smith,Grocery store purchase
14,c9cf158de6e94d458ae8c077377925b3,2f481af787af9565,BOOKED,2024-06-12,2024-06-14,OUT,EUR,-4957.46,4957.46,Peeter Tamm,Loan repayment June
15,c9cf158de6e94d458ae8c077377925b3,47ba6782aac9e2b3,BOOKED,2024-07-09,2024-07-10,IN,EUR,1523.61,1523.61,Viktor Mueller,Online purchase Z0P7GSGD
16,c9cf158de6e94d458ae8c077377925b3,63ab5f3cda569fb6,BOOKED,2024-07-12,2024-07-13,IN,EUR,3454.48,3454.48,Viktor Kowalski,Loan repayment July
17,c9cf158de6e94d458ae8c077377925b3,219dc2119da907a9,BOOKED,2024-07-22,2024-07-23,IN,EUR,3114.87,3114.87,Ingrid Dubois,Utility bill July
18,c9cf158de6e94d458ae8c077377925b3,4023203d6c2aab25,BOOKED,2024-08-28,2024-08-30,OUT,EUR,-812.52,812.52,Luca Mets,Grocery store purchase
19,c9cf158de6e94d458ae8c077377925b3,584a397e902c88c0,PENDING,,2024-09-13,OUT,EUR,-8284.78,8284.78,Laura Smith,Loan repayment September
20,c9cf158de6e94d458ae8c077377925b3,f2ab6f40ab9d872f,BOOKED,2024-09-13,2024-09-14,OUT,EUR,-741.15,741.15,Julia Dubois,Online purchase 5TISYPSC
21,c9cf158de6e94d458ae8c077377925b3,a21876be6f8cab65,PENDING,,2024-11-05,OUT,EUR,-7183.85,7183.85,Mart Kowalski,Freelance payment L8Y0KYMH
22,c9cf158de6e94d458ae8c077377925b3,2c3fb98c0e8a5f88,BOOKED,2024-12-05,2024-12-06,IN,EUR,6019.63,6019.63,Laura Mets,Refund order DEOPXVAE
23,c9cf158de6e94d458ae8c077377925b3,ac6c897aeb8cfe37,BOOKED,2024-12-19,2024-12-21,IN,EUR,7637.24,7637.24,Tomas Berg,Online purchase 8WC5G1F7
