row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,55054481848f3c78,BOOKED,2024-01-04,2024-01-04,OUT,EUR,-15.7,15.7,Peeter Kask,Utility bill January
2,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,9d68d2028da92624,BOOKED,2024-01-09,2024-01-09,OUT,EUR,-3332.87,3332.87,Markus Berg,Grocery store purchase
3,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,42df76e29d80b2ce,BOOKED,2024-01-12,2024-01-12,IN,EUR,2486.07,2486.07,Viktor Lepp,Tax payment WIQW3WHR
4,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,025f5e5631a16b1c,PENDING,,2024-01-15,OUT,EUR,-5296.36,5296.36,Tomas Nilsson,Freelance payment QSFGES1Q
5,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,0089bf69eb653cfc,BOOKED,2024-01-25,2024-01-26,IN,EUR,647.14,647.14,Katrin Tamm,Freelance payment EDHBHNW4
6,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,a4b211980c4ae6e9,BOOKED,2024-02-07,2024-02-08,IN,EUR,1429.8,1429.8,Emma Mets,Tax payment WW2X4F7B
7,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,2c863e0cfc242302,BOOKED,2024-02-24,2024-02-24,IN,EUR,2731.72,2731.72,Andres Lepp,Loan repayment February
8,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,1821e3da0dfe4667,BOOKED,2024-04-10,2024-04-12,IN,EUR,2815.81,2815.81,Clara Mets,Service fee
9,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,19de7f418d61c11a,BOOKED,2024-04-14,2024-04-16,OUT,EUR,-981.98,981.98,Anna Jansen,Insurance premium Q2
10,d95bafc8-f2a4-427b-9cf4-bb99f4bea973,f5751b3912f36b9f,BOOKED,2024-04-18,2024-04-18,OUT,EUR,-5798.24,5798.24,Ingrid Saar,Tax payment 6UOOZQXE
