row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,6f82e8192151c52d,BOOKED,2024-01-01,2024-01-03,IN,EUR,4069.66,4069.66,Henrik Paju,Refund order D9K9TR74
2,bdd640fb-0667-4ad1-9c80-317fa3b1799d,c8ec468e97f41d36,BOOKED,2024-01-04,2024-01-06,OUT,EUR,-542.22,542.22,Olivia Kask,Freelance payment ODS1EEUR
3,bdd640fb-0667-4ad1-9c80-317fa3b1799d,a0f52d60784f1798,BOOKED,2024-01-14,2024-01-15,OUT,EUR,-6689.06,6689.06,Sophie Mueller,Tax payment CAT9MX2X
4,bdd640fb-0667-4ad1-9c80-317fa3b1799d,eaea97b269f224eb,BOOKED,2024-01-14,2024-01-15,OUT,EUR,-1819.21,1819.21,Liisa Kowalski,Grocery store purchase
5,bdd640fb-0667-4ad1-9c80-317fa3b1799d,ae3292d2a4fa29e0,BOOKED,2024-01-14,2024-01-16,OUT,EUR,-7835.69,7835.69,Emma Paju,Loan repayment January
6,bdd640fb-0667-4ad1-9c80-317fa3b1799d,21279a869655b732,BOOKED,2024-01-18,2024-01-18,IN,EUR,7643.62,7643.62,Luca Saar,Tax payment ZP7G7SIW
7,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3203bf7524c977c7,BOOKED,2024-01-16,2024-01-18,OUT,EUR,-8603.82,8603.82,Elena Paju,Subscription renewal
8,bdd640fb-0667-4ad1-9c80-317fa3b1799d,226c3e9cb7a6957c,BOOKED,2024-01-19,2024-01-21,IN,EUR,560.06,560.06,Laura Mueller,Transfer to savings
9,bdd640fb-0667-4ad1-9c80-317fa3b1799d,4f6f961e34a60ea2,PENDING,,2024-01-24,IN,EUR,8520.13,8520.13,Viktor Mueller,Service fee
10,bdd640fb-0667-4ad1-9c80-317fa3b1799d,69f7c96395a3c928,BOOKED,2024-01-30,2024-01-30,OUT,EUR,-4390.28,4390.28,Liisa Rossi,Donation to charity
11,bdd640fb-0667-4ad1-9c80-317fa3b1799d,d62ed26c4063f8a4,BOOKED,2024-01-28,2024-01-30,IN,EUR,8513.57,8513.57,Marie Mets,Donation to charity
12,bdd640fb-0667-4ad1-9c80-317fa3b1799d,f4e76479bc843f8f,BOOKED,2024-01-30,2024-01-30,IN,EUR,857.45,857.45,Henrik Mets,Freelance payment IHCWI64C
13,bdd640fb-0667-4ad1-9c80-317fa3b1799d,918d439028012758,BOOKED,2024-01-30,2024-02-01,IN,EUR,4654.48,4654.48,Mart Berg,Freelance payment QZCUCTSU
