row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,9974d75b-3338-44fe-a179-0134676b1b69,50a47de508a80a39,BOOKED,2024-01-09,2024-01-10,OUT,EUR,-8898.59,8898.59,Andres Saar,Freelance payment I7HLD5WI
2,9974d75b-3338-44fe-a179-0134676b1b69,50a47de508a80a39,BOOKED,2024-01-09,2024-01-10,OUT,EUR,-8898.59,8898.59,Andres Saar,Freelance payment I7HLD5WI
3,9974d75b-3338-44fe-a179-0134676b1b69,1248f88512897f7b,BOOKED,2024-01-12,2024-01-12,OUT,EUR,-6838.95,6838.95,Luca Mets,Grocery store purchase
4,9974d75b-3338-44fe-a179-0134676b1b69,9995cfed9f22bcb3,BOOKED,2024-01-12,2024-01-12,OUT,EUR,-6838.96,6838.96,Luca Mets,Grocery store purchase
5,9974d75b-3338-44fe-a179-0134676b1b69,649b915e789b976a,BOOKED,2024-01-21,2024-01-21,IN,EUR,4748.98,4748.98,Luca Berg,DUP04 original remittance
6,9974d75b-3338-44fe-a179-0134676b1b69,82c637bffc7aee5c,BOOKED,2024-01-21,2024-01-21,IN,EUR,4748.98,4748.98,Luca Berg,DUP04 modified remittance
7,9974d75b-3338-44fe-a179-0134676b1b69,6f638014130d9197,BOOKED,2024-02-06,2024-02-08,IN,EUR,9971.84,9971.84,Olivia Tamm,Grocery store purchase
8,9974d75b-3338-44fe-a179-0134676b1b69,c8131147774db4df,BOOKED,2024-02-06,2024-02-08,IN,EUR,9971.84,9971.84,Olivia Tamm,Grocery store purchase
9,9974d75b-3338-44fe-a179-0134676b1b69,28896332334aa467,BOOKED,2024-02-19,2024-02-19,IN,EUR,2960.44,2960.44,Mart Oja,Subscription renewal
10,9974d75b-3338-44fe-a179-0134676b1b69,3e982a572d0a9712,BOOKED,2024-02-22,2024-02-23,IN,EUR,5805.52,5805.52,Jan Oja,Refund order 4ZG69UW6
11,9974d75b-3338-44fe-a179-0134676b1b69,23a14e3de881e631,BOOKED,2024-03-17,2024-03-18,IN,EUR,8499.81,8499.81,Elena Mets,Subscription renewal
12,9974d75b-3338-44fe-a179-0134676b1b69,88c6f9d2c9b9f061,BOOKED,2024-03-27,2024-03-28,OUT,EUR,-6568.72,6568.72,Marie Jansen,Transfer to savings
13,9974d75b-3338-44fe-a179-0134676b1b69,25187c5f122887cd,BOOKED,2024-04-21,2024-04-21,IN,EUR,128.19,128.19,Luca Rossi,Service fee
14,9974d75b-3338-44fe-a179-0134676b1b69,4a9f3bb89e26fc7f,BOOKED,2024-04-28,2024-04-30,OUT,EUR,-7330.29,7330.29,Stefan Mets,Refund order Y4X28NJI
15,9974d75b-3338-44fe-a179-0134676b1b69,bf4777db266baba7,PENDING,,2024-05-03,OUT,EUR,-1917.48,1917.48,Katrin Smith,Grocery store purchase
16,9974d75b-3338-44fe-a179-0134676b1b69,10f2c181840fa1fc,BOOKED,2024-06-12,2024-06-14,OUT,EUR,-4957.46,4957.46,Peeter Tamm,Loan repayment June
17,9974d75b-3338-44fe-a179-0134676b1b69,98613bfcb29b74cd,BOOKED,2024-07-12,2024-07-13,IN,EUR,3454.48,3454.48,Viktor Kowalski,Loan repayment July
18,9974d75b-3338-44fe-a179-0134676b1b69,f921d44ee4dfcf16,BOOKED,2024-07-22,2024-07-23,IN,EUR,3114.87,3114.87,Ingrid Dubois,Utility bill July
19,9974d75b-3338-44fe-a179-0134676b1b69,bc82fb28fdca0559,PENDING,,2024-09-13,OUT,EUR,-8284.78,8284.78,Laura Smith,Loan repayment September
20,9974d75b-3338-44fe-a179-0134676b1b69,9384fe37d4587265,BOOKED,2024-09-13,2024-09-14,OUT,EUR,-741.15,741.15,Julia Dubois,Online purchase 5TISYPSC
21,9974d75b-3338-44fe-a179-0134676b1b69,b38a62960cbc794c,PENDING,,2024-11-05,OUT,EUR,-7183.85,7183.85,Mart Kowalski,Freelance payment L8Y0KYMH
22,9974d75b-3338-44fe-a179-0134676b1b69,01f003253bbe77d7,BOOKED,2024-12-05,2024-12-06,IN,EUR,6019.63,6019.63,Laura Mets,Refund order DEOPXVAE
23,9974d75b-3338-44fe-a179-0134676b1b69,b1f5e7ab3ef8a1df,BOOKED,2024-12-19,2024-12-21,IN,EUR,7637.24,7637.24,Tomas Berg,Online purchase 8WC5G1F7
