row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,4ae8b183a53213bc,BOOKED,2024-01-10,2024-01-12,OUT,EUR,-2745.53,2745.53,Julia Kask,Grocery store purchase
2,bdd640fb-0667-4ad1-9c80-317fa3b1799d,35c37285500b1ff7,BOOKED,2024-01-15,2024-01-15,OUT,EUR,-7027.28,7027.28,Tomas Nilsson,Service fee
3,bdd640fb-0667-4ad1-9c80-317fa3b1799d,0b9aab2f308f0af3,BOOKED,2024-01-14,2024-01-16,OUT,EUR,-7835.69,7835.69,Emma Paju,Loan repayment January
4,bdd640fb-0667-4ad1-9c80-317fa3b1799d,98db38809fba65ad,BOOKED,2024-01-18,2024-01-18,IN,EUR,7643.62,7643.62,Luca Saar,Tax payment ZP7G7SIW
5,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3584c196609e1790,BOOKED,2024-01-19,2024-01-21,IN,EUR,4192.83,4192.83,Julia Nilsson,Transfer to savings
6,bdd640fb-0667-4ad1-9c80-317fa3b1799d,bfb9ebb9df0b190b,BOOKED,2024-01-20,2024-01-21,IN,EUR,6820.98,6820.98,Viktor Lepp,Subscription renewal
7,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3c455bc6370ed6be,BOOKED,2024-01-22,2024-01-22,IN,EUR,455.57,455.57,Ingrid Smith,Grocery store purchase
8,bdd640fb-0667-4ad1-9c80-317fa3b1799d,6223171edd616764,BOOKED,2024-01-31,2024-02-01,OUT,EUR,-8006.12,8006.12,Peeter Dubois,Salary February
9,bdd640fb-0667-4ad1-9c80-317fa3b1799d,31bedaee932364d4,BOOKED,2024-01-31,2024-02-02,OUT,EUR,-370.8,370.8,Liisa Kask,Grocery store purchase
10,bdd640fb-0667-4ad1-9c80-317fa3b1799d,fb77b4546d16c245,BOOKED,2024-02-02,2024-02-03,IN,EUR,5580.07,5580.07,Sophie Rossi,Rent payment February
