row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,4ae8b183a53213bc,BOOKED,2024-01-10,2024-01-12,OUT,EUR,-2745.53,2745.53,Julia Kask,Grocery store purchase
2,bdd640fb-0667-4ad1-9c80-317fa3b1799d,d481063d77dca028,PENDING,,2024-01-15,IN,EUR,2733.43,2733.43,Tomas Nilsson,Service fee
3,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3584c196609e1790,BOOKED,2024-01-19,2024-01-21,IN,EUR,4192.83,4192.83,Julia Nilsson,Transfer to savings
4,bdd640fb-0667-4ad1-9c80-317fa3b1799d,bfb9ebb9df0b190b,BOOKED,2024-01-20,2024-01-21,IN,EUR,6820.98,6820.98,Viktor Lepp,Subscription renewal
5,bdd640fb-0667-4ad1-9c80-317fa3b1799d,6223171edd616764,BOOKED,2024-01-31,2024-02-01,OUT,EUR,-8006.12,8006.12,Peeter Dubois,Salary February
6,bdd640fb-0667-4ad1-9c80-317fa3b1799d,62b8b2dd2bb11a2a,PENDING,,2024-02-16,IN,EUR,6417.4,6417.4,Stefan Tamm,Service fee
7,bdd640fb-0667-4ad1-9c80-317fa3b1799d,844ee31e58a2751e,BOOKED,2024-02-20,2024-02-21,OUT,EUR,-4534.65,4534.65,Carlos Mueller,Subscription renewal
8,bdd640fb-0667-4ad1-9c80-317fa3b1799d,c3d0d646938409fb,BOOKED,2024-03-02,2024-03-03,IN,EUR,8014.36,8014.36,Viktor Nilsson,Rent payment March
9,bdd640fb-0667-4ad1-9c80-317fa3b1799d,294f2e49597e2734,PENDING,,2024-03-05,OUT,EUR,-5261.32,5261.32,Felix Mets,Donation to charity
10,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3c2ab8eedf3bc741,PENDING,,2024-03-07,IN,EUR,5865.06,5865.06,Markus Nilsson,Refund order IPU1WYUV
11,bdd640fb-0667-4ad1-9c80-317fa3b1799d,6f9d357c48454dcc,BOOKED,2024-03-09,2024-03-10,IN,EUR,503.8,503.8,Sophie Nilsson,Service fee
12,bdd640fb-0667-4ad1-9c80-317fa3b1799d,eb448a63e6a477b3,BOOKED,2024-03-13,2024-03-14,IN,EUR,749.21,749.21,Laura Nilsson,Loan repayment March
13,bdd640fb-0667-4ad1-9c80-317fa3b1799d,217c6102963f7c18,BOOKED,2024-03-28,2024-03-28,IN,EUR,6095.3,6095.3,Sophie Dubois,Loan repayment March
14,bdd640fb-0667-4ad1-9c80-317fa3b1799d,7bf45515f025f83b,BOOKED,2024-05-14,2024-05-15,OUT,EUR,-4230.65,4230.65,Felix Paju,Freelance payment CGVYIE6I
15,bdd640fb-0667-4ad1-9c80-317fa3b1799d,43e082c1c20d8d09,BOOKED,2024-05-30,2024-05-30,OUT,EUR,-6918.17,6918.17,Tomas Kowalski,Subscription renewal
16,bdd640fb-0667-4ad1-9c80-317fa3b1799d,502bd6a3944f333f,BOOKED,2024-05-31,2024-06-02,OUT,EUR,-6669.26,6669.26,Elena Berg,Insurance premium Q2
17,bdd640fb-0667-4ad1-9c80-317fa3b1799d,ac5be6504315918c,BOOKED,2024-06-18,2024-06-18,IN,EUR,8770.5,8770.5,Laura Mueller,Donation to charity
18,bdd640fb-0667-4ad1-9c80-317fa3b1799d,21b63cbcb2429db0,BOOKED,2024-06-20,2024-06-20,IN,EUR,6728.28,6728.28,Andres Jansen,Online purchase 11DPG8SB
19,bdd640fb-0667-4ad1-9c80-317fa3b1799d,c9daaf8895e5b608,BOOKED,2024-06-21,2024-06-23,OUT,EUR,-8205.67,8205.67,Tomas Rossi,Insurance premium Q2
20,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2d718e3b02d8ba3b,BOOKED,2024-07-03,2024-07-03,OUT,EUR,-142.47,142.47,Markus Saar,Rent payment July
21,bdd640fb-0667-4ad1-9c80-317fa3b1799d,e85aab3c271bf19b,BOOKED,2024-07-16,2024-07-18,IN,EUR,8567.46,8567.46,Julia Berg,Loan repayment July
22,bdd640fb-0667-4ad1-9c80-317fa3b1799d,0a5d014eeba6c07a,BOOKED,2024-08-02,2024-08-02,OUT,EUR,-5893.06,5893.06,Anna Mueller,Tax payment W5NGCX19
23,bdd640fb-0667-4ad1-9c80-317fa3b1799d,cf6f4f0be3417fc9,BOOKED,2024-08-05,2024-08-07,OUT,EUR,-3620.6,3620.6,Katrin Paju,Transfer to savings
