row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,9974d75b-3338-44fe-a179-0134676b1b69,50a47de508a80a39,BOOKED,2024-01-09,2024-01-10,OUT,EUR,-8898.59,8898.59,Andres Saar,Freelance payment I7HLD5WI
2,9974d75b-3338-44fe-a179-0134676b1b69,9995cfed9f22bcb3,BOOKED,2024-01-12,2024-01-12,OUT,EUR,-6838.96,6838.96,Luca Mets,Grocery store purchase
3,9974d75b-3338-44fe-a179-0134676b1b69,c071638b8a0e2dd9,BOOKED,2024-01-21,2024-01-21,IN,EUR,4748.98,4748.98,Luca Berg,Transfer to savings
4,9974d75b-3338-44fe-a179-0134676b1b69,c8131147774db4df,BOOKED,2024-02-06,2024-02-08,IN,EUR,9971.84,9971.84,Olivia Tamm,Grocery store purchase
5,9974d75b-3338-44fe-a179-0134676b1b69,889349d71d3eba20,BOOKED,2024-02-15,2024-02-15,OUT,EUR,-1917.48,1917.48,Katrin Smith,Grocery store purchase
6,9974d75b-3338-44fe-a179-0134676b1b69,28896332334aa467,BOOKED,2024-02-19,2024-02-19,IN,EUR,2960.44,2960.44,Mart Oja,Subscription renewal
7,9974d75b-3338-44fe-a179-0134676b1b69,3e982a572d0a9712,BOOKED,2024-02-22,2024-02-23,IN,EUR,5805.52,5805.52,Jan Oja,Refund order 4ZG69UW6
8,9974d75b-3338-44fe-a179-0134676b1b69,69a317852aa5c05d,BOOKED,2024-02-23,2024-02-23,IN,EUR,0,0,Liisa Berg,EDGE01 zero amount
9,9974d75b-3338-44fe-a179-0134676b1b69,52b60e4ca2cc0a03,PENDING,,2024-03-05,IN,EUR,9329.03,9329.03,Markus Oja,Service fee
10,9974d75b-3338-44fe-a179-0134676b1b69,b25d16277b1ff28c,PENDING,,2024-03-05,OUT,EUR,-2885.84,2885.84,Stefan Tamm,Tax payment CZZJVRU1
11,9974d75b-3338-44fe-a179-0134676b1b69,63efa5ee32818761,BOOKED,2024-03-05,2024-03-06,OUT,EUR,-4342.69,4342.69,Sophie Mets,Donation to charity
12,9974d75b-3338-44fe-a179-0134676b1b69,23a14e3de881e631,BOOKED,2024-03-17,2024-03-18,IN,EUR,8499.81,8499.81,Elena Mets,Subscription renewal
13,9974d75b-3338-44fe-a179-0134676b1b69,88c6f9d2c9b9f061,BOOKED,2024-03-27,2024-03-28,OUT,EUR,-6568.72,6568.72,Marie Jansen,Transfer to savings
14,9974d75b-3338-44fe-a179-0134676b1b69,25187c5f122887cd,BOOKED,2024-04-21,2024-04-21,IN,EUR,128.19,128.19,Luca Rossi,Service fee
15,9974d75b-3338-44fe-a179-0134676b1b69,4a9f3bb89e26fc7f,BOOKED,2024-04-28,2024-04-30,OUT,EUR,-7330.29,7330.29,Stefan Mets,Refund order Y4X28NJI
16,9974d75b-3338-44fe-a179-0134676b1b69,1b7422edbecca2b3,BOOKED,2024-05-06,2024-05-07,OUT,EUR,-50,50,Luca Lepp,EDGE04 negative amount OUT direction
17,9974d75b-3338-44fe-a179-0134676b1b69,a889047227078e49,BOOKED,2024-05-16,2024-05-18,OUT,EUR,-25,25,,EDGE08 no counterparty
18,9974d75b-3338-44fe-a179-0134676b1b69,8d31e0048451f474,BOOKED,2024-06-08,2024-06-10,IN,EUR,6122.65,6122.65,Peeter Smith,EDGE07 AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
19,9974d75b-3338-44fe-a179-0134676b1b69,10f2c181840fa1fc,BOOKED,2024-06-12,2024-06-14,OUT,EUR,-4957.46,4957.46,Peeter Tamm,Loan repayment June
20,9974d75b-3338-44fe-a179-0134676b1b69,f3064438801fd28c,BOOKED,2024-06-20,2024-06-22,OUT,EUR,-9999999.999,9999999.999,Elena Smith,EDGE02 large amount 3 decimal places
21,9974d75b-3338-44fe-a179-0134676b1b69,4521dcc02c9974b6,BOOKED,2024-06-22,2024-06-23,IN,EUR,100.5,100.5,Felix Jansen,EDGE05 positive amount IN direction
22,9974d75b-3338-44fe-a179-0134676b1b69,1d557a538962ff03,BOOKED,2024-07-10,2024-07-10,OUT,EUR,-3854.68,3854.68,Jan Oja,EDGE06 same booking and value date
23,9974d75b-3338-44fe-a179-0134676b1b69,98613bfcb29b74cd,BOOKED,2024-07-12,2024-07-13,IN,EUR,3454.48,3454.48,Viktor Kowalski,Loan repayment July
24,9974d75b-3338-44fe-a179-0134676b1b69,f921d44ee4dfcf16,BOOKED,2024-07-22,2024-07-23,IN,EUR,3114.87,3114.87,Ingrid Dubois,Utility bill July
25,9974d75b-3338-44fe-a179-0134676b1b69,61e7614be70a0195,BOOKED,2024-09-12,2024-09-13,OUT,EUR,-2523.57,2523.57,Laura Mueller,Invoice M2O2ADQD
26,9974d75b-3338-44fe-a179-0134676b1b69,9384fe37d4587265,BOOKED,2024-09-13,2024-09-14,OUT,EUR,-741.15,741.15,Julia Dubois,Online purchase 5TISYPSC
27,9974d75b-3338-44fe-a179-0134676b1b69,7a932ef687411e12,BOOKED,2024-10-09,2024-10-10,OUT,EUR,-1,1,Mart Tamm,EDGE03 integer amount no decimals
28,9974d75b-3338-44fe-a179-0134676b1b69,9f675d4be17b68aa,PENDING,,2024-10-11,IN,EUR,7955.85,7955.85,Emma Jansen,Invoice 0DQH9PS8
29,9974d75b-3338-44fe-a179-0134676b1b69,b884b0c732cdd004,BOOKED,2024-11-04,2024-11-05,OUT,EUR,-9605.35,9605.35,Stefan Kowalski,Freelance payment L8Y0KYMH
30,9974d75b-3338-44fe-a179-0134676b1b69,6e8f89b7b47a7719,PENDING,,2024-11-22,OUT,EUR,-5964.94,5964.94,Ingrid Oja,Online purchase 6QERN5LC
31,9974d75b-3338-44fe-a179-0134676b1b69,01f003253bbe77d7,BOOKED,2024-12-05,2024-12-06,IN,EUR,6019.63,6019.63,Laura Mets,Refund order DEOPXVAE
32,9974d75b-3338-44fe-a179-0134676b1b69,b1f5e7ab3ef8a1df,BOOKED,2024-12-19,2024-12-21,IN,EUR,7637.24,7637.24,Tomas Berg,Online purchase 8WC5G1F7
33,9974d75b-3338-44fe-a179-0134676b1b69,f54854b4fc0c6879,PENDING,,2024-12-25,OUT,EUR,-2318.67,2318.67,Viktor Tamm,Insurance premium Q4
