row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,50468d3427417008,BOOKED,2023-12-31,2024-01-01,OUT,EUR,-807.71,807.71,Ingrid Tamm,Invoice W3AB1MLE
2,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,ce5d4f88951af996,BOOKED,2024-01-01,2024-01-01,IN,EUR,607.32,607.32,Andres Jansen,Salary January
3,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,856745dd4f737bbf,BOOKED,2023-12-31,2024-01-02,IN,EUR,8162.74,8162.74,Sophie Berg,Rent payment January
4,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,88148b647dc7c42e,BOOKED,2024-01-01,2024-01-03,IN,EUR,7399.84,7399.84,Jan Saar,Invoice IQUXDFCS
5,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,8de241ed618837b1,PENDING,,2024-01-03,IN,EUR,182.52,182.52,Olivia Nilsson,Salary January
6,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,c19df7db0f886749,BOOKED,2024-01-02,2024-01-03,IN,EUR,155.8,155.8,Laura Tamm,Grocery store purchase
7,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,c6a841f69c366ad2,BOOKED,2024-01-03,2024-01-04,OUT,EUR,-7102.5,7102.5,Andres Berg,Transfer to savings
8,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,cf9a6bd8d234e84c,BOOKED,2024-01-04,2024-01-05,OUT,EUR,-7773.94,7773.94,Emma Mueller,Loan repayment January
9,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,36b5984d180a83e6,BOOKED,2024-01-06,2024-01-06,OUT,EUR,-1686.56,1686.56,Olivia Lepp,Invoice NO9W4RI1
10,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,8901443c5152e64d,BOOKED,2024-01-06,2024-01-06,OUT,EUR,-4005.03,4005.03,Olivia Kowalski,Grocery store purchase
11,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,18eefaa221a30322,BOOKED,2024-01-07,2024-01-07,IN,EUR,6855.93,6855.93,Ingrid Oja,Tax payment GP8H961E
12,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,6fbb3669ec6278e1,PENDING,,2024-01-07,IN,EUR,5665.94,5665.94,Peeter Nilsson,Utility bill January
13,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,2835cbeba025a445,BOOKED,2024-01-07,2024-01-08,IN,EUR,7165.1,7165.1,Julia Jansen,Tax payment 4WM39X4O
14,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,2f77e1cce25c1ee6,BOOKED,2024-01-06,2024-01-08,IN,EUR,2654.99,2654.99,Peeter Paju,Rent payment January
15,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,c019c889f7f9c04d,BOOKED,2024-01-06,2024-01-08,IN,EUR,3932.31,3932.31,Elena Tamm,Utility bill January
16,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,3e2235498d8e97d4,BOOKED,2024-01-07,2024-01-09,IN,EUR,6094.16,6094.16,Ingrid Berg,Grocery store purchase
17,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,5bd4f7863dc1a8b1,BOOKED,2024-01-09,2024-01-09,IN,EUR,3442.9,3442.9,Katrin Mueller,Grocery store purchase
18,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,dc62cbfc5953b8fc,BOOKED,2024-01-09,2024-01-09,OUT,EUR,-5220.59,5220.59,Julia Dubois,Online purchase NNBWEVXP
19,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,10f8562cbe8600ca,BOOKED,2024-01-10,2024-01-10,OUT,EUR,-3495.65,3495.65,Stefan Rossi,Loan repayment January
20,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,5259337957fa04b1,BOOKED,2024-01-09,2024-01-10,IN,EUR,2742.78,2742.78,Laura Kask,Online purchase 6IPKVXXY
21,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,0215872bccbcb437,BOOKED,2024-01-11,2024-01-11,IN,EUR,7207.97,7207.97,Anna Mets,Refund order VI9XNG04
22,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,5767044e8da28053,BOOKED,2024-01-09,2024-01-11,OUT,EUR,-1336.08,1336.08,Clara Smith,Tax payment HM794CZX
23,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,ed852dae7581126a,BOOKED,2024-01-11,2024-01-11,IN,EUR,4047.11,4047.11,Mart Oja,Utility bill January
24,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,3c368cfc9ce29ee1,BOOKED,2024-01-11,2024-01-12,IN,EUR,4251.13,4251.13,Emma Tamm,Grocery store purchase
25,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,5aa53e0530ffc122,PENDING,,2024-01-12,OUT,EUR,-7362.33,7362.33,Henrik Rossi,Grocery store purchase
26,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,7b3415104bdf536c,BOOKED,2024-01-11,2024-01-12,IN,EUR,1830.49,1830.49,Henrik Dubois,Service fee
27,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,093f994b12bf3df9,BOOKED,2024-01-12,2024-01-13,IN,EUR,7035.75,7035.75,Viktor Berg,Tax payment PWSGBC95
28,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,85feb0b3beafc31b,BOOKED,2024-01-11,2024-01-13,IN,EUR,5847.15,5847.15,Peeter Mueller,Invoice 7LTU6I77
29,4462ebfc-5f91-4ef0-9cfb-ac6e7687a66e,ce1d2867dbdecd0a,PENDING,,2024-01-13,OUT,EUR,-2123.25,2123.25,Emma Smith,Service fee
