row_id,account_id,record_id,status,booking_date,value_date,direction,currency,signed_amount,abs_amount,counterparty_name,remittance
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,99f45a6f1b525c6c,BOOKED,2024-01-04,2024-01-06,OUT,EUR,-542.22,542.22,Olivia Kask,Freelance payment ODS1EEUR
2,bdd640fb-0667-4ad1-9c80-317fa3b1799d,53b59e496b19aa98,BOOKED,2024-01-06,2024-01-07,OUT,EUR,-8554.25,8554.25,Markus Tamm,Rent payment January
3,bdd640fb-0667-4ad1-9c80-317fa3b1799d,1bc73b129573bc54,BOOKED,2024-01-08,2024-01-10,IN,EUR,8126.6,8126.6,Julia Berg,Service fee
4,bdd640fb-0667-4ad1-9c80-317fa3b1799d,4ae8b183a53213bc,BOOKED,2024-01-10,2024-01-12,OUT,EUR,-2745.53,2745.53,Julia Kask,Grocery store purchase
5,bdd640fb-0667-4ad1-9c80-317fa3b1799d,35c37285500b1ff7,BOOKED,2024-01-15,2024-01-15,OUT,EUR,-7027.28,7027.28,Tomas Nilsson,Service fee
6,bdd640fb-0667-4ad1-9c80-317fa3b1799d,c7349022da79801b,BOOKED,2024-01-15,2024-01-15,OUT,EUR,-4931,4931,Marie Kowalski,Invoice JP6MKT7S
7,bdd640fb-0667-4ad1-9c80-317fa3b1799d,0b9aab2f308f0af3,BOOKED,2024-01-14,2024-01-16,OUT,EUR,-7835.69,7835.69,Emma Paju,Loan repayment January
8,bdd640fb-0667-4ad1-9c80-317fa3b1799d,70c1fb2230de7d95,BOOKED,2024-01-16,2024-01-18,OUT,EUR,-8603.82,8603.82,Elena Paju,Subscription renewal
9,bdd640fb-0667-4ad1-9c80-317fa3b1799d,98db38809fba65ad,BOOKED,2024-01-18,2024-01-18,IN,EUR,7643.62,7643.62,Luca Saar,Tax payment ZP7G7SIW
10,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3584c196609e1790,BOOKED,2024-01-19,2024-01-21,IN,EUR,4192.83,4192.83,Julia Nilsson,Transfer to savings
11,bdd640fb-0667-4ad1-9c80-317fa3b1799d,4cee0df6fa236e9a,BOOKED,2024-01-20,2024-01-21,OUT,EUR,-8016.15,8016.15,Elena Oja,Service fee
12,bdd640fb-0667-4ad1-9c80-317fa3b1799d,bfb9ebb9df0b190b,BOOKED,2024-01-20,2024-01-21,IN,EUR,6820.98,6820.98,Viktor Lepp,Subscription renewal
13,bdd640fb-0667-4ad1-9c80-317fa3b1799d,eba0bb18f6206689,BOOKED,2024-01-21,2024-01-21,OUT,EUR,-2318.27,2318.27,Laura Kowalski,Refund order GXNX4SN6
14,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3c455bc6370ed6be,BOOKED,2024-01-22,2024-01-22,IN,EUR,455.57,455.57,Ingrid Smith,Grocery store purchase
15,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3863c05f88e5f5cb,BOOKED,2024-01-22,2024-01-24,IN,EUR,7721.67,7721.67,Emma Kuusk,Online purchase N961J88Q
16,bdd640fb-0667-4ad1-9c80-317fa3b1799d,219671fb52bb231b,BOOKED,2024-01-28,2024-01-28,IN,EUR,5056.17,5056.17,Henrik Paju,Salary January
17,bdd640fb-0667-4ad1-9c80-317fa3b1799d,9fcc7db22e6fa81f,BOOKED,2024-01-27,2024-01-29,OUT,EUR,-3976.18,3976.18,Clara Oja,Insurance premium Q1
18,bdd640fb-0667-4ad1-9c80-317fa3b1799d,fe3afc829394d0c9,BOOKED,2024-01-27,2024-01-29,OUT,EUR,-8879.88,8879.88,Peeter Berg,Invoice CMRSEZYT
19,bdd640fb-0667-4ad1-9c80-317fa3b1799d,6223171edd616764,BOOKED,2024-01-31,2024-02-01,OUT,EUR,-8006.12,8006.12,Peeter Dubois,Salary February
20,bdd640fb-0667-4ad1-9c80-317fa3b1799d,31bedaee932364d4,BOOKED,2024-01-31,2024-02-02,OUT,EUR,-370.8,370.8,Liisa Kask,Grocery store purchase
21,bdd640fb-0667-4ad1-9c80-317fa3b1799d,a95dc1745f834b96,BOOKED,2024-02-02,2024-02-02,IN,EUR,8349.63,8349.63,Olivia Nilsson,Transfer to savings
22,bdd640fb-0667-4ad1-9c80-317fa3b1799d,4482741ea6639c19,BOOKED,2024-02-02,2024-02-03,IN,EUR,7545.74,7545.74,Peeter Jansen,Freelance payment HGK6T9DH
